pond,sexo,region,edad,satisfaccion_vida,satisfaccion_chilenos,eval_econ
0.388573566,2,2,54,8,7,3
0.846971838,2,13,62,5,4,2
0.754747408,2,5,42,8,5,2
0.740809231,2,4,38,10,5,2
0.703947299,2,8,24,8,3,4
0.829523735,2,9,31,7,4,3
0.846971838,2,13,58,4,4,3
0.754747408,2,5,43,5,5,3
1.030286506,2,13,35,8,4,1
0.91319977,2,8,26,10,3,3
0.496042009,2,7,83,7,7,2
0.771146472,2,3,27,8,4,3
0.479715516,2,8,85,5,5,3
0.598695995,2,7,53,7,5,2
1.339168839,2,13,22,10,10,2
0.829523735,2,9,28,5,5,3
0.501904526,2,3,55,10,8,3
0.91319977,2,8,34,6,5,3
1.339168839,2,13,19,8,8,3
1.030286506,2,13,37,3,3,2
1.030286506,2,13,35,8,5,3
0.846971838,2,13,57,5,5,2
0.846971838,2,13,56,3,5,2
0.92149875,2,13,49,8,5,3
0.491476304,2,6,75,10,88,3
0.92149875,2,13,45,1,4,2
0.92149875,2,13,50,8,6,1
1.100600521,2,2,18,8,5,3
0.479715516,2,8,56,8,7,3
4.102540332,2,12,44,1,2,1
0.491476304,2,6,70,4,4,9
0.3720101,2,12,22,10,88,3
0.754747408,2,5,43,8,3,3
1.030286506,2,13,40,9,6,4
0.846971838,2,13,77,8,5,4
1.379259028,2,13,25,10,6,3
1.092448939,2,8,46,10,5,3
0.485827415,2,9,39,10,88,3
0.846971838,2,13,76,5,5,4
0.392714433,2,12,33,8,6,3
0.388573566,2,2,54,8,4,2
1.379259028,2,13,33,6,4,3
0.604509991,2,14,30,10,5,4
1.174752514,2,6,28,8,4,3
0.62066759,2,15,20,7,5,3
0.846971838,2,13,65,10,4,3
0.64190234,2,5,58,9,88,1
0.786882058,2,7,25,9,3,3
1.538708075,2,5,25,6,5,4
0.91319977,2,8,25,9,8,3
0.846971838,2,13,65,10,4,3
0.92149875,2,13,49,7,5,3
0.989372532,2,5,49,10,9,2
0.92149875,2,13,48,7,7,4
0.479715516,2,8,63,9,9,3
0.786882058,2,7,26,7,6,3
0.766008921,2,4,63,10,1,1
0.92149875,2,13,52,5,4,3
0.92149875,2,13,52,7,6,4
0.491476304,2,6,58,10,2,3
0.846971838,2,13,58,10,4,4
0.485827415,2,9,40,9,6,4
1.030286506,2,13,37,9,5,1
0.64190234,2,5,69,10,4,2
1.379259028,2,13,30,10,7,3
0.989372532,2,5,53,10,6,4
0.496042009,2,7,60,6,6,4
0.91319977,2,8,31,8,5,2
0.993396948,2,5,30,6,6,3
0.621496938,1,9,44,10,7,4
0.989372532,2,5,51,9,6,2
0.388573566,2,2,52,9,5,3
1.339168839,2,13,19,7,6,4
0.92149875,2,13,50,8,6,3
0.846971838,2,13,79,6,4,4
1.030286506,2,13,36,9,10,3
1.317312624,1,13,54,7,5,3
1.039391632,1,13,57,8,4,4
1.146470293,1,7,41,8,5,4
2.485029524,1,13,25,10,10,3
1.317312624,1,13,45,10,10,3
1.039391632,1,13,80,10,6,2
0.92149875,2,13,53,10,5,3
0.785839869,1,10,67,10,4,2
0.878562398,2,10,50,6,5,3
0.475814327,2,7,24,9,5,3
0.404787678,2,15,36,9,5,4
0.878562398,2,10,46,10,5,3
1.169101207,1,2,32,8,7,4
2.485029524,1,13,34,9,5,4
0.491476304,2,6,71,7,4,2
0.91319977,2,8,33,10,4,3
0.54927275,1,10,60,8,5,3
1.030286506,2,13,44,8,6,3
0.704640869,1,3,67,7,3,2
0.722750737,1,8,60,5,4,2
0.418453565,2,14,51,4,4,2
1.317312624,1,13,50,8,5,5
1.914970926,1,6,51,10,6,4
1.146470293,1,7,42,10,5,4
0.46170604,2,7,58,6,6,3
1.104881814,1,5,50,10,7,2
8.611974738,2,4,26,8,2,2
1.273667504,2,9,21,7,6,2
0.310246457,2,6,72,6,5,3
1.770297477,2,1,19,8,6,3
1.889129042,1,5,44,8,5,2
1.410771627,1,3,52,10,7,3
1.473347004,2,10,41,8,5,4
0.823916465,1,2,57,7,5,1
2.269359225,1,2,53,9,7,1
1.339168839,2,13,19,9,6,2
1.888444035,1,8,41,8,88,3
0.92149875,2,13,51,10,10,3
0.496042009,2,7,66,4,6,3
0.46170604,2,7,64,5,7,2
1.039391632,1,13,88,6,7,3
0.436075367,1,8,69,10,4,3
1.379259028,2,13,34,8,6,3
0.704640869,1,3,67,8,6,3
0.720162202,1,5,57,9,5,3
0.720162202,1,5,76,7,5,3
0.92149875,2,13,48,2,1,1
1.375733526,1,8,50,7,7,4
0.654158717,2,2,59,7,5,3
0.939310387,2,8,35,8,5,3
0.76498141,2,3,19,8,7,2
1.030286506,2,13,41,10,5,2
1.146470293,1,7,43,7,4,3
0.54927275,1,10,60,8,4,3
1.146470293,1,7,43,8,4,4
0.823916465,1,2,58,8,3,2
0.714765515,2,2,33,8,7,2
0.846971838,2,13,59,6,6,2
0.766008921,2,4,80,10,4,3
0.404787678,2,15,39,9,8,1
0.720162202,1,5,69,6,4,2
0.785839869,1,10,65,7,5,3
1.169101207,1,2,26,7,5,4
0.491476304,2,6,62,7,5,2
1.221825329,2,8,22,7,4,2
0.681568125,1,6,62,10,6,3
0.72856351,1,2,43,8,7,3
0.64190234,2,5,60,9,5,3
0.809449772,1,6,60,9,6,3
1.175300519,1,15,30,8,7,3
2.285234259,1,6,43,10,5,3
1.538708075,2,5,25,8,5,4
0.359166222,2,14,40,7,5,2
0.69358657,2,9,72,10,6,2
1.030286506,2,13,35,10,5,2
1.591681939,1,5,18,5,7,3
0.722750737,1,8,77,10,7,3
0.712270132,2,6,29,10,6,3
0.939310387,2,8,35,2,4,2
1.534107112,1,10,25,9,7,3
0.771146472,2,3,31,10,5,3
0.87874735,1,10,53,8,5,2
2.455338587,1,6,50,10,5,2
0.46170604,2,7,56,4,6,3
0.577238155,2,14,64,10,5,3
0.809449772,1,6,65,8,3,3
2.485029524,1,13,33,10,7,3
1.589132303,1,13,41,7,5,3
0.92149875,2,13,45,10,10,4
0.501904526,2,3,74,9,2,3
0.64190234,2,5,73,8,6,3
0.87874735,1,10,51,8,5,2
1.473347004,2,10,37,10,5,1
0.388573566,2,2,54,7,3,3
0.493033687,2,10,42,10,7,4
1.956482342,2,3,38,7,4,2
0.929676631,2,10,62,9,4,2
0.50230868,2,8,47,7,10,4
1.030286506,2,13,40,6,4,2
0.655037809,2,3,54,4,4,3
1.339168839,2,13,19,8,3,4
2.487910663,1,7,47,7,4,2
0.500603013,2,15,69,6,6,2
0.846971838,2,13,65,9,7,4
1.213592403,1,14,29,10,6,3
1.027510289,2,10,18,7,7,1
0.812395302,1,7,58,6,5,4
1.030286506,2,13,39,4,6,3
0.628322542,2,10,59,9,6,3
1.242516817,2,1,44,5,5,2
0.87783629,1,7,53,4,7,2
1.039391632,1,13,67,10,8,3
0.846971838,2,13,67,10,4,2
0.479715516,2,8,59,3,3,2
0.846971838,2,13,58,10,3,2
1.030286506,2,13,41,7,4,3
0.469931831,2,14,37,7,5,3
0.874792903,1,8,53,7,6,3
1.039391632,1,13,56,7,7,4
1.092448939,2,8,45,10,1,1
1.039391632,1,13,74,6,6,2
0.722750737,1,8,69,10,5,3
0.823916465,1,2,68,8,3,2
0.754747408,2,5,39,10,4,2
0.64190234,2,5,74,6,4,3
0.501904526,2,3,78,5,5,2
1.600861031,1,10,19,8,5,4
1.174752514,2,6,32,10,10,3
0.785839869,1,10,65,5,4,2
0.469931831,2,14,40,5,5,3
1.889129042,1,5,36,9,5,3
1.379259028,2,13,29,9,9,1
1.104881814,1,5,53,8,8,3
1.339168839,2,13,18,6,5,3
1.339168839,2,13,18,7,5,1
0.712270132,2,6,31,8,2,3
1.14642748,2,6,20,9,88,2
0.91319977,2,8,28,7,4,3
1.589132303,1,13,42,9,3,3
2.485029524,1,13,31,7,4,3
1.039391632,1,13,62,10,1,1
0.829523735,2,9,34,10,6,3
0.704640869,1,3,70,8,5,3
0.809449772,1,6,62,10,88,4
